# omch2 ombh2 h ns 10^9As b0 loglike weights
1.303111156879973864e-01 2.697872104688277262e-02 6.463919177511380232e-01 9.541219790817334623e-01 2.235232201672210817e+00 2.312188627456369883e+00 0.000000000000000000e+00 -1.225734512554455083e+06
1.135414850305844769e-01 2.707614759517270459e-02 6.404015686212851666e-01 9.528098670172200357e-01 2.588117896190345490e+00 2.316444615158008702e+00 0.000000000000000000e+00 -1.163258735006913776e+06
1.293629311068001664e-01 1.926114581415438315e-02 7.223018162861206681e-01 9.557276292477032698e-01 2.933958216129502805e+00 1.701529597290973195e+00 0.000000000000000000e+00 -1.046582472170293913e+06
8.912738938782306664e-02 2.043336352202657774e-02 7.128312542787080819e-01 9.570112244639982224e-01 2.517925300941598277e+00 6.422758768015528474e-01 0.000000000000000000e+00 -9.790748837045948021e+05
1.369714990917133279e-01 1.648214859801139937e-02 6.132314066838939759e-01 9.644575004339355218e-01 2.958985988740016726e+00 1.500119028623890127e+00 0.000000000000000000e+00 -8.830718036978003802e+05
9.726525188760340446e-02 2.066341566463756468e-02 7.014599813929923711e-01 9.529069154451087487e-01 2.882384515401819058e+00 2.224359535198653148e+00 0.000000000000000000e+00 -1.084747160333354026e+06
1.445556423745573138e-01 2.808209101912821637e-02 7.037517033614585360e-01 9.949449717749667688e-01 2.320882519710252723e+00 4.914418871363929187e-01 0.000000000000000000e+00 -8.884099394933618605e+05
9.957728019079463422e-02 2.183716338360626452e-02 6.528422518624722448e-01 9.381590267361521462e-01 2.702906818048420146e+00 5.172968029478542951e-01 0.000000000000000000e+00 -1.399245040919113904e+06
1.596022405832914770e-01 2.549925351674722437e-02 6.123829212051362658e-01 9.331721572691600297e-01 2.685541790935073170e+00 1.887521676922508274e+00 0.000000000000000000e+00 -1.335862993076796411e+06
1.120775676785834701e-01 2.772628712408838417e-02 7.393553436286830483e-01 9.406866394775865725e-01 2.844365812346521416e+00 2.054181542369261759e+00 0.000000000000000000e+00 -1.000573414375488646e+06
8.635368755631268878e-02 2.411493893718551912e-02 7.023140950931903159e-01 9.511278950928929721e-01 2.816492550583528764e+00 5.211826325553147177e-01 0.000000000000000000e+00 -1.924576441704004072e+06
1.221530142763354587e-01 2.755354585695626163e-02 7.272503099600022836e-01 9.859250890054822580e-01 2.420642653499871955e+00 2.094813516844474588e+00 0.000000000000000000e+00 -1.040837189151722589e+06
1.218057701793444636e-01 1.750324280707770200e-02 7.245890123978206976e-01 9.331300514624873976e-01 2.861421323991524712e+00 1.927073289647111665e+00 0.000000000000000000e+00 -1.219383006194315851e+06
1.216541033118747617e-01 1.837556009900469245e-02 6.868757085593661937e-01 9.576813759762368150e-01 2.164201756056154835e+00 1.794835727500419198e+00 0.000000000000000000e+00 -7.080692742454506224e+05
1.049571564650517153e-01 2.511517977176078859e-02 6.917515066519477340e-01 9.808546103536122107e-01 2.243417566039600075e+00 5.343618446743294559e-01 0.000000000000000000e+00 -1.619778171251306776e+06
