# loglike weights omch2 ombh2 h ns 10^9As b0
1.462329566424721838e-01 1.935225381797391758e-02 7.140453181921001535e-01 9.521473655065492148e-01 2.434088311664962312e+00 1.157296960018001863e+00 0.000000000000000000e+00 -2.188521894022874767e+05
1.210268667479587335e-01 2.546836298897350512e-02 7.350817790366059867e-01 9.602600571690977915e-01 2.494170360588706004e+00 1.314072016522202180e+00 0.000000000000000000e+00 -1.564865229500556306e+05
1.098945062056396749e-01 2.449274992280877500e-02 7.041747757807010899e-01 9.968764219542967098e-01 2.391404991399796121e+00 7.825873502631255363e-01 0.000000000000000000e+00 -2.931970248520033783e+05
1.403328786119202309e-01 2.368362724984487272e-02 6.172043853122326507e-01 9.227640656506252981e-01 2.450929511272839090e+00 1.471884732578271571e+00 0.000000000000000000e+00 -4.172297374043278978e+05
9.567314140345414830e-02 2.041411190218973826e-02 7.066189031230948325e-01 9.904862939255503207e-01 2.401632017702703958e+00 9.121106012232682581e-01 0.000000000000000000e+00 -1.733994856625032262e+05
1.531387222716075747e-01 2.022406010082537786e-02 6.885902097370510955e-01 9.694867884915890910e-01 2.528140716858952253e+00 1.426541651462942983e+00 0.000000000000000000e+00 -6.366501498171945568e+05
1.258924526443064851e-01 1.977336562647934518e-02 7.416709987632559287e-01 9.484000231260159008e-01 2.113227074244900638e+00 6.672675411512571930e-01 0.000000000000000000e+00 -4.813790755597165553e+05
1.258298362654849400e-01 2.617323333255707624e-02 6.443797680903156078e-01 9.827508180062305421e-01 2.350101916260448398e+00 1.355815766658476029e+00 0.000000000000000000e+00 -1.675109280497766158e+05
9.121770254341091122e-02 2.201086027642974036e-02 6.791237806118483045e-01 9.249066801122883819e-01 2.838887200306081660e+00 8.679615129029599752e-01 0.000000000000000000e+00 -2.210011086505359272e+05
8.835707299112025015e-02 2.457158943989110750e-02 6.643906982337232092e-01 9.998701682532709079e-01 2.217142067756340928e+00 9.072140694908169545e-01 0.000000000000000000e+00 -5.243729974805589300e+05
1.322577648650161697e-01 2.542830294140208114e-02 6.240819125342148554e-01 9.943400888857819586e-01 2.066323105053780473e+00 1.372617486553833199e+00 0.000000000000000000e+00 -1.439379242680290481e+05
8.613706874571568084e-02 1.969316066710302335e-02 6.411460516474197791e-01 9.976342325397572486e-01 2.751222330819415696e+00 6.373282048683859280e-01 0.000000000000000000e+00 -1.145777330976384925e+06
1.496363787005299817e-01 2.380945414572014154e-02 6.637468837014445233e-01 9.687730395401926708e-01 2.883429276660006035e+00 1.292124275929626753e+00 0.000000000000000000e+00 -4.882882538487622514e+05
1.502010156112700834e-01 2.335755402673325709e-02 6.469240123059210035e-01 9.690372039240719992e-01 2.609766079888095724e+00 5.861201977506168559e-01 0.000000000000000000e+00 -3.173536400796988164e+05
